,x,y
0,11470715.344307415,0.0
1,11469428.53143097,132278.3969330305
2,11465568.949731067,264506.74132647587
3,11459137.933159415,396634.99921393296
4,11450137.891828025,528613.1738555115
5,11438572.157349572,660391.3206512829
6,11424445.145446368,791919.5744734502
7,11407762.245203441,923148.1667825853
8,11388529.764902517,1054027.4414025964
9,11366754.962041805,1184507.873268051
10,11342446.06384921,1314540.0866440989
11,11315612.263771461,1444074.8750093284
12,11286263.713178733,1573063.220037703
13,11254411.513257628,1701456.3108688004
14,11220067.70966,1829205.5667263085
15,11183245.29314407,1956262.6329368858
16,11143958.190187268,2082579.4282461032
17,11102221.257749857,2208108.147784517
18,11058050.279344965,2332801.292534479
19,11011461.960332423,2456611.672353242
20,10962473.919193529,2579492.439552896
21,10911104.684328945,2701397.0867124484
22,10857373.68538825,2822279.477492211
23,10801301.245051928,2942093.859566568
24,10742908.569761872,3060794.8872996364
25,10682217.747170057,3178337.6323171575
26,10619251.733401248,3294677.60545447
27,10554034.342400087,3409770.772860545
28,10486590.242717642,3523573.5743613583
29,10416944.945248935,3636042.93649039
30,10345124.791808575,3747136.284736105
31,10271156.950869424,3856811.5672517684
32,10195069.402490087,3965027.2676769225
33,10116890.926131753,4071742.4207635666
34,10036651.096512103,4176916.6299251984
35,9954380.266969867,4280510.079632712
36,9870109.558126902,4382483.550549945
37,9783870.851011174,4482798.43781574
38,9695696.769544067,4581416.761742837
39,9605620.669579403,4678301.183215222
40,9513676.630029012,4773415.020560791
41,9419899.435209876,4866722.259659715
42,9324324.562632319,4958187.568376536
43,9226988.173738118,5047776.313365605
44,9127927.091973377,5135454.565670675
45,9027178.79578422,5221189.120024522
46,8924781.406374417,5304947.509298596
47,8820773.672334356,5386698.016068764
48,8715194.954074172,5466409.683722921
49,8608085.198322078,5544052.316314737
50,8499484.93395889,5619596.50292544
51,8389435.254142776,5693013.626454592
52,8277977.798239122,5764275.872295723
53,8165154.739202534,5833356.240488457
54,8051008.7812134465,5900228.563020007
55,7935583.122555382,5964867.502880611
56,7818921.444729151,6027248.566574951
57,7701067.896296445,6087348.113713875
58,7582067.079469755,6145143.367416842
59,7461964.037572752,6200612.424859113
60,7340804.228132559,6253734.261705466
61,7218633.509266792,6304488.741791168
62,7095498.122214246,6352856.625006152
63,6971444.675897217,6398819.5730303675
64,6846520.1291991025,6442360.156346938
65,6720771.770465681,6483461.862907425
